a_value,b_value
-2.000000,0.062221
-1.986667,-0.056172
-1.973333,-0.009662
-1.960000,0.050251
-1.946667,0.086567
-1.933333,-0.094514
-1.920000,0.036109
-1.906667,-0.078465
-1.893333,-0.065834
-1.880000,-0.095101
-1.866667,0.008537
-1.853333,-0.007722
-1.840000,0.099224
-1.826667,-0.064126
-1.813333,0.012128
-1.800000,-0.034114
-1.786667,0.057849
-1.773333,0.102717
-1.760000,0.029790
-1.746667,0.004267
-1.733333,-0.008950
-1.720000,-0.040163
-1.706667,0.014930
-1.693333,-0.048971
-1.680000,0.051734
-1.666667,0.061344
-1.653333,-0.055140
-1.640000,0.010683
-1.626667,-0.090089
-1.613333,0.044947
-1.600000,0.046789
-1.586667,-0.031662
-1.573333,0.055794
-1.560000,-0.016742
-1.546667,0.060329
-1.533333,-0.001492
-1.520000,-0.054205
-1.506667,0.094390
-1.493333,-0.012706
-1.480000,-0.039894
-1.466667,0.042727
-1.453333,-0.074642
-1.440000,-0.029702
-1.426667,0.069248
-1.413333,-0.048593
-1.400000,0.028977
-1.386667,0.018458
-1.373333,-0.046150
-1.360000,0.078452
-1.346667,-0.077133
-1.333333,0.065293
-1.320000,0.066932
-1.306667,-0.081017
-1.293333,0.038946
-1.280000,0.027224
-1.266667,0.076915
-1.253333,-0.030680
-1.240000,0.059739
-1.226667,-0.051126
-1.213333,0.021123
-1.200000,0.111289
-1.186667,0.019070
-1.173333,0.030069
-1.160000,0.004484
-1.146667,0.106517
-1.133333,-0.034331
-1.120000,0.072539
-1.106667,0.005928
-1.093333,-0.053663
-1.080000,-0.046034
-1.066667,0.111816
-1.053333,0.026688
-1.040000,-0.019218
-1.026667,-0.065602
-1.013333,0.070038
-1.000000,-0.053998
-0.986667,-0.016809
-0.973333,0.000406
-0.960000,-0.050454
-0.946667,0.035114
-0.933333,0.065809
-0.920000,-0.000267
-0.906667,0.039986
-0.893333,0.068869
-0.880000,0.007883
-0.866667,0.046830
-0.853333,0.038209
-0.840000,0.022322
-0.826667,0.128770
-0.813333,0.005753
-0.800000,-0.000326
-0.786667,-0.011768
-0.773333,0.097529
-0.760000,0.027466
-0.746667,0.131145
-0.733333,-0.015435
-0.720000,0.038330
-0.706667,0.000439
-0.693333,0.157494
-0.680000,0.059797
-0.666667,0.002949
-0.653333,0.046851
-0.640000,0.150704
-0.626667,0.154711
-0.613333,0.044772
